1 - Distance From Bump,Height of Bump,Speed
0.575374212,0.680336526,0
0.376001984,0.278660565,1
0.973890164,0.741585304,0
0.310378075,0.34237351,1
0.109520939,0.268303725,1
0.122944867,0.185516169,1
0.210875698,0.275558877,1
0.210799243,0.317124814,1
0.794790412,0.597864631,0
0.168954622,0.208565372,1
0.105421022,0.425342691,1
0.135155915,0.269061445,1
0.640882389,0.70472631,0
0.753816452,0.700332334,0
0.829294323,0.748133412,0
0.125128002,0.387781939,1
0.385757041,0.397768889,1
0.805707758,0.671324452,0
0.209901487,0.131981335,1
0.366270125,0.222759893,1
0.386487248,0.212315264,1
0.675453964,0.601785552,0
0.057613766,0.271247985,1
0.77686687,0.66511084,0
0.112190892,0.132488006,1
0.265995898,0.340509592,1
0.725117188,0.652117715,0
0.710579807,0.717130774,0
0.809079463,0.688861408,0
0.683321189,0.698492422,0
0.151063172,0.320295732,1
0.270752168,0.233803914,1
0.650015079,0.586044188,0
0.302334086,0.276278961,1
0.671414685,0.705466371,0
0.800090005,0.599250329,0
0.802286579,0.6987651,0
0.739318364,0.679971437,0
0.714016295,0.715935349,0
0.212899022,0.379707149,1
0.668596174,0.551136168,0
0.679812144,0.768853361,0
0.67291884,0.562691907,0
0.142007218,0.323951347,1
0.201087967,0.045574033,1
0.27709815,0.26481704,1
0.122119902,0.311700725,1
0.726093931,0.613132649,0
0.28187277,0.249688237,1
0.283821354,0.17922673,1
0.666597134,0.793822339,0
0.193996962,0.186264206,1
0.202638551,0.313118426,1
0.154844047,0.250627488,1
0.651063527,0.75103331,0
0.341778624,0.256679366,1
0.315506081,0.394485296,1
0.74595552,0.69316359,0
0.152343479,0.322562553,1
0.672212313,0.641927272,0
0.27469237,0.211605985,1
0.403028414,0.279577841,1
0.154642794,0.283924609,1
0.200583408,0.286474911,1
0.232897313,0.272019004,1
0.773358181,0.677434076,0
0.670283778,0.677189149,0
0.640829864,0.672550124,0
0.741803974,0.616294847,0
0.221737077,0.493133633,1
0.337201422,0.253283483,1
0.614738397,0.553348593,0
0.212378434,0.337870086,1
0.242011964,0.232616968,1
0.690229022,0.61745493,0
0.774176022,0.759713598,0
0.78982996,0.761924238,0
0.663029067,0.613276172,0
0.746487728,0.780227005,0
0.278445202,0.193980619,1
0.146733247,0.385595887,1
0.323036532,0.369800508,1
0.579966743,0.794863876,0
0.622293858,0.602041197,0
0.773986438,0.821168166,0
0.224059423,0.280730993,1
0.637717575,0.771937019,0
0.667075275,0.58991899,0
0.723601883,0.649134907,0
0,0.425377409,1
0.21899827,0.217019356,1
0.552711229,0.600163837,0
0.269936524,0.114525481,1
0.718002652,0.707405089,0
0.395465958,0.238035905,1
